timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
256,6.631776332855225,2,10.0,10.0,0.0,21,16.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
512,12.44485878944397,2,10.0,10.0,0.0,21,16.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
768,18.854539155960083,3,10.0,6.6666665,0.0,500,177.33333333333334,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1024,25.369333028793335,3,10.0,6.6666665,0.0,500,177.33333333333334,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1280,30.88276767730713,4,10.0,5.0,0.0,500,258.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1536,36.3951313495636,5,10.0,4.0,0.0,500,306.4,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
1792,43.351396560668945,5,10.0,4.0,0.0,500,306.4,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2048,50.059818506240845,6,10.0,5.0,0.0,500,300.6666666666667,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2304,56.06712508201599,7,10.0,5.714286,0.0,500,296.2857142857143,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2560,62.30039358139038,7,10.0,5.714286,0.0,500,296.2857142857143,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
2816,68.86356592178345,8,10.0,5.0,0.0,500,321.75,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3072,75.43437790870667,8,10.0,5.0,0.0,500,321.75,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3328,81.38754630088806,9,10.0,4.4444447,0.0,500,341.55555555555554,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3584,87.04541087150574,10,10.0,4.0,0.0,500,357.4,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
3840,94.0125892162323,11,10.0,4.5454545,0.0,500,344.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4096,100.50234413146973,11,10.0,4.5454545,0.0,500,344.0,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4352,107.02961540222168,13,10.0,4.6153846,0.0,500,332.84615384615387,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4608,112.52074527740479,13,10.0,4.6153846,0.0,500,332.84615384615387,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
4864,118.33924627304077,14,10.0,4.285714,0.0,500,344.7857142857143,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5120,124.87195181846619,14,10.0,4.285714,0.0,500,344.7857142857143,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5376,131.3234088420868,15,10.0,4.0,0.0,500,355.1333333333333,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5632,138.03821659088135,15,10.0,4.0,0.0,500,355.1333333333333,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
5888,144.5944004058838,16,10.0,3.75,0.0,500,364.1875,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6144,151.04702162742615,16,10.0,3.75,0.0,500,364.1875,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6400,157.44163465499878,17,10.0,3.5294118,0.0,500,372.1764705882353,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6656,163.03790402412415,17,10.0,3.5294118,0.0,500,372.1764705882353,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
6912,168.60814237594604,19,10.0,3.6842105,0.0,500,360.1578947368421,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7168,174.00496864318848,19,10.0,3.6842105,0.0,500,360.1578947368421,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7424,179.7880573272705,20,10.0,3.5,0.0,500,367.15,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7680,186.5663058757782,20,10.0,3.5,0.0,500,367.15,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
7936,193.08779764175415,21,10.0,3.3333333,0.0,500,373.4761904761905,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
8192,199.00171279907227,22,10.0,3.6363637,0.0,500,367.54545454545456,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
8448,204.8090054988861,22,10.0,3.6363637,0.0,500,367.54545454545456,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
8704,211.20947527885437,24,10.0,3.75,0.0,500,362.4583333333333,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
8960,217.83962559700012,25,10.0,4.0,0.0,500,350.12,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
9216,224.68854331970215,25,10.0,4.0,0.0,500,350.12,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
9472,230.81799983978271,26,10.0,3.8461537,0.0,500,355.88461538461536,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
9728,236.74840378761292,26,10.0,3.8461537,0.0,500,355.88461538461536,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
9984,243.14747262001038,27,10.0,3.7037036,0.0,500,361.22222222222223,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
10240,249.82951545715332,27,10.0,3.7037036,0.0,500,361.22222222222223,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
10496,2145.746378183365,30,10.0,4.0,0.0,500,343.3333333333333,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
10752,2152.5190756320953,30,10.0,4.0,0.0,500,343.3333333333333,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
11008,2158.8929483890533,31,10.0,3.8709676,0.0,500,348.38709677419354,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
11264,2165.26020526886,31,10.0,3.8709676,0.0,500,348.38709677419354,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
11520,2171.4832093715668,34,10.0,4.117647,0.0,500,332.7352941176471,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
11776,2177.7037930488586,35,10.0,4.285714,0.0,500,336.22857142857146,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
12032,2183.981406211853,35,10.0,4.285714,0.0,500,336.22857142857146,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
12288,2190.0442836284637,36,10.0,4.1666665,0.0,500,340.77777777777777,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
12544,2196.226530790329,37,10.0,4.324324,0.0,500,335.2972972972973,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
12800,2202.358767747879,37,10.0,4.324324,0.0,500,335.2972972972973,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
13056,2208.889885902405,38,10.0,4.2105265,0.0,500,339.63157894736844,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
13312,2215.477662563324,38,10.0,4.2105265,0.0,500,339.63157894736844,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
13568,2221.434705734253,39,10.0,4.1025643,0.0,500,343.7435897435897,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
13824,2227.2234885692596,39,10.0,4.1025643,0.0,500,343.7435897435897,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
14080,2233.201469898224,40,10.0,4.0,0.0,500,347.65,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
14336,2239.093972682953,40,10.0,4.0,0.0,500,347.65,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
14592,2245.733200073242,41,10.0,3.75,0.0,500,359.875,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
14848,2252.337689638138,41,10.0,3.75,0.0,500,359.875,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
15104,2259.138313293457,44,10.0,4.0,0.0,500,349.625,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
15360,2265.5621948242188,44,10.0,4.0,0.0,500,349.625,0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan
